Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Babimost_zielonogórskie;Babimost;zielonogórskie;ewangelicko-augsburskie;;1665-1945;89/324/0;1367;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63410#;52.165112;15.8275175;Lubuskie,  Dolnośląskie;1;1367;1
Baczyna_gorzowskie;Baczyna;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.7549;15.1158;Lubuskie, Zachodniopomorskie;1;68637;1
Bagna_szczecińskie;Bagna;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5434586;15.1724111;Zachodniopomorskie,  Lubuskie;1;114460;1
Bąków_opolskie;Bąków;opolskie;ewangelicko-augsburskie;;1846-1866;45/3592/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76124#;50.9617655;18.3108784;Opolskie;1;0;1
Bąków_opolskie;Bąków;opolskie;ewangelicko-augsburskie;;1765-1939;45/3367/0;1145;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47870#;50.9617655;18.3098784;Opolskie;1;1145;2
Baniewice_szczecińskie;Baniewice;szczecińskie;ewangelicko-augsburskie;;1905-1935;65/166/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/70137#;53.0823381;14.611173;Zachodniopomorskie,  Lubuskie;1;0;1
Barcin_bydgoskie;Barcin;bydgoskie;ewangelicko-reformowane;;1846-1863, 1865-1869, 1871-1874;6/2788/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/147467#;52.8630346;17.9462463;Kujawsko-Pomorskie;1;0;1
Barcinek_jeleniogórskie;Barcinek;jeleniogórskie;ewangelicko-augsburskie;;[1725 - 1879] 1879 - 1944;83/90/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86257#;50.94164;15.59654;Dolnośląskie;1;0;1
Barlinek_gorzowskie;Barlinek;gorzowskie;baptyści;;1847-1874;66/886/0;678;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/36340#;52.9918762;15.2156391;Lubuskie, Zachodniopomorskie;1;678;1
Barlinek_gorzowskie;Barlinek;gorzowskie;ewangelickie;;1859-1935;66/1047/0;1097;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/36501#;52.9918762;15.2146391;Lubuskie, Zachodniopomorskie;1;1097;2
Barlinek_gorzowskie;Barlinek;gorzowskie;ewangelicko-augsburskie;;[1733-1878] 1879-1945;65/719/0;22;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69150#;52.9918762;15.2136391;Lubuskie, Zachodniopomorskie;1;22;3
Barlinek_gorzowskie;Barlinek;gorzowskie;ewangelicko-augsburskie;;1802-1836;66/88/0;179;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35509#;52.9918762;15.2126391;Lubuskie, Zachodniopomorskie;1;179;4
Barlinek_gorzowskie;Barlinek;gorzowskie;ewangelicko-augsburskie;;1847-1874;66/886/0;678;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/36340#;52.9918762;15.2116391;Lubuskie, Zachodniopomorskie;1;678;5
Barnkowo_szczecińskie;Barnkowo;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;52.9609291;14.4760043;Zachodniopomorskie,  Lubuskie;1;114460;1
Batorowo_pilskie;Batorowo;pilskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.49275;17.32496;Wielkopolskie, Zachodniopomorskie;1;114460;1
Bełczna_szczecińskie;Bełczna;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.7137056;15.5922079;Zachodniopomorskie,  Lubuskie;1;9759;1
Benice_szczecińskie;Benice;szczecińskie;ewangelicko-augsburskie;;[1711-1879] 1879-1945;65/148/0;4348;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68135#;53.8946;14.90813;Zachodniopomorskie,  Lubuskie;1;4348;1
Bezrzecze_szczecińskie;Bezrzecze;szczecińskie;ewangelicko-augsburskie;;;kein Bestand;0;0;53.4576703;14.4535194;Zachodniopomorskie,  Lubuskie;1;-1;1
Biadacz_opolskie;Biadacz;opolskie;ewangelicko-augsburskie;;1817-1870;45/3368/0;301;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47871#;50.9962984;18.326939;Opolskie;1;301;1
Biała_pilskie;Biała;pilskie;ewangelickie;;1815 - 1874;53/3266/0;5380;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18759#;53.04514;16.53849;Wielkopolskie, Zachodniopomorskie;1;5380;1
Biała_pilskie;Biała;pilskie;ewangelickie;;[1826 - 1852] 1853 - 1886;53/3766/0;277;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19296#;53.04514;16.53749;Wielkopolskie, Zachodniopomorskie;1;277;2
Białcz_gorzowskie;Białcz;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.67594;14.9386;Lubuskie, Zachodniopomorskie;1;68637;1
Białogórze_jeleniogórskie;Białogórze;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;51.1546255;15.1237053;Dolnośląskie;1;0;1
Biały Kościół_wrocławskie;Biały Kościół;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.729597;17.0395784;Dolnośląskie;1;0;1
Biedrzychowice_jeleniogórskie;Biedrzychowice;jeleniogórskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.040815;15.3794187;Dolnośląskie;1;0;1
Biedrzychowice_jeleniogórskie;Biedrzychowice;jeleniogórskie;ewangelicko-augsburskie;;;82/143/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88538#;51.040815;15.3784187;Dolnośląskie;1;0;2
Biedrzychowice_jeleniogórskie;Biedrzychowice;jeleniogórskie;ewangelicko-augsburskie;;1725 - 1943;86/238/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/84500#;51.040815;15.3774187;Dolnośląskie;1;0;3
Bielawa_wałbrzyskie;Bielawa;wałbrzyskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.6839718;16.6108259;Dolnośląskie;1;0;1
Bielawa Dolna_jeleniogórskie;Bielawa Dolna;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;51.2964157;15.038164;Dolnośląskie;1;0;1
Bielawa Górna_jeleniogórskie;Bielawa Górna;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;51.1998641;15.1926174;Dolnośląskie;1;0;1
Bielice_szczecińskie;Bielice;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.6675778;16.2217778;Zachodniopomorskie,  Lubuskie;1;114460;1
Bieniczki_szczecińskie;Bieniczki;szczecińskie;ewangelicko-augsburskie;;[1663] 1879-1945;65/1167/0;5359;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69557#;53.64176;15.27841;Zachodniopomorskie,  Lubuskie;1;5359;1
Bieniowice_legnickie;Bieniowice;legnickie;ewangelicko-augsburskie;;1794 - 1874;85/24/0;6607;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87045#;51.2583028;16.2547984;Dolnośląskie;1;6607;1
Bierutów_wrocławskie;Bierutów;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.1250738;17.5390351;Dolnośląskie;1;0;1
Bierzyn_wrocławskie;Bierzyn;wrocławskie;ewangelicko-augsburskie;;1845-1874;45/3598/0;230;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76130#;50.8137451;17.0196634;Dolnośląskie;1;230;1
Biskupice_opolskie;Biskupice;opolskie;ewangelicko-augsburskie;;1824-1874;45/3369/0;626;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47872#;51.0813282;18.1903612;Opolskie;1;626;1
Biskupiec_toruńskie;Biskupiec;toruńskie;ewangelicko-augsburskie;;1700-1919;42/75/0;16268;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/114986#;52.6536318;17.6331262;Kujawsko-Pomorskie;1;16268;1
Bnin_poznańskie;Bnin;poznańskie;ewangelicko-augsburskie;;1778 - 1944;53/3767/0;3143;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19298#;52.2313204;17.0948465;Wielkopolskie;1;3143;1
Bobrów_jeleniogórskie;Bobrów;jeleniogórskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.2350899;16.1360834;Dolnośląskie;1;0;1
Bobrowice_zielonogórskie;Bobrowice;zielonogórskie;ewangelicko-augsburskie;;1813-1923;89/115/0;905;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63160#;51.9520474;15.0857621;Lubuskie,  Dolnośląskie;1;905;1
Bodzęcin_szczecińskie;Bodzęcin;szczecińskie;ewangelicko-augsburskie;;[1711-1879] 1879-1945;65/148/0;4348;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68135#;53.63767;14.92753;Zachodniopomorskie,  Lubuskie;1;4348;1
Bogatynia_jeleniogórskie;Bogatynia;jeleniogórskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.9075147;14.9529185;Dolnośląskie;1;0;1
Bogdaniec_gorzowskie;Bogdaniec;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.6889522;15.0732997;Lubuskie, Zachodniopomorskie;1;68637;1
Bojadła_zielonogórskie;Bojadła;zielonogórskie;ewangelicko-augsburskie;;1765-1846;89/96/0;545;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63141#;51.9527445;15.8085139;Lubuskie,  Dolnośląskie;1;545;1
Bojanowo_leszczyńskie;Bojanowo;leszczyńskie;ewangelickie;;1670 - 1892;53/3768/0;5239;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19299#;51.7068018;16.7477692;Wielkopolskie, Dolnośląskie;1;5239;1
Bolemin_gorzowskie;Bolemin;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.63766;15.22957;Lubuskie, Zachodniopomorskie;1;68637;1
Bolesławice_szczecińskie;Bolesławice;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.5642784;14.678987;Zachodniopomorskie,  Lubuskie;1;114460;1
Bolków_jeleniogórskie;Bolków;jeleniogórskie;ewangelicko-augsburskie;św. Jadwigi;1422 - 1945;85/52/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87073#;50.9218033;16.099499;Dolnośląskie;1;0;1
Bolków_jeleniogórskie;Bolków;jeleniogórskie;ewangelicko-augsburskie;św. Jadwigi;1656 - 1733, 1747 - 1946;85/54/0;23841;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87135#;50.9218033;16.098499;Dolnośląskie;1;23841;2
Bonin_szczecińskie;Bonin;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.19533;15.35378;Zachodniopomorskie,  Lubuskie;1;9759;1
Borek_gorzowskie;Borek;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.6900038;15.3851581;Lubuskie, Zachodniopomorskie;1;68637;1
Borek Strzeliński_wrocławskie;Borek Strzeliński;wrocławskie;ewangelicko-augsburskie;;1682-1937;82/106/0;7554;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88397#;50.8669532;17.0645205;Dolnośląskie;1;7554;1
Borkowo Wielkie_szczecińskie;Borkowo Wielkie;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.6431113;15.448624;Zachodniopomorskie,  Lubuskie;1;9759;1
Borów_wrocławskie;Borów;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.882173;16.9879297;Dolnośląskie;1;0;1
Boruja Kościelna_poznańskie;Boruja Kościelna;poznańskie;ewangelickie;;;kein Bestand;0;0;52.2680758;16.131627;Wielkopolskie;1;-1;1
