Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Aleksandrów Kujawski_włocławskie;Aleksandrów Kujawski;włocławskie;rzymskokatolickie;;;kein Bestand;0;0;52.8765365;18.6935744;Kujawsko-Pomorskie,  Wielkopolskie;1
Andrychów_bielskie;Andrychów;bielskie;rzymskokatolickie;św. Macieja;1859-1930;13/1277/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/134313#;49.8555791;19.3436756;Śląskie, Małopolskie;1
Babice_opolskie;Babice;opolskie;rzymskokatolickie;św. Katarzyny;1766-1927 [1949];45/3326/0;18397;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47829#;50.1730241;17.9131706;Opolskie;1
Babice_opolskie;Babice;opolskie;rzymskokatolickie;św.Katarzyny;1766-1927 [1949];45/3326/0;18397;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47829#;50.1720241;17.9131706;Opolskie;1
Baborów_opolskie;Baborów;opolskie;rzymskokatolickie;Narodzenia Najświętszej Maryi Panny;1766-1927 [1949];45/3326/0;18397;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47829#;50.1563566;17.9859393;Opolskie;1
Bagno_wrocławskie;Bagno;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.3392058;16.8203816;Dolnośląskie;1
Bagrowo_poznańskie;Bagrowo;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.2871462;17.3163837;Wielkopolskie;1
Bagrowo_poznańskie;Bagrowo;poznańskie;rzymskokatolickie;;1818 - 1874;53/3235/0;486;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18728#;52.2871462;17.3163837;Wielkopolskie;1
Barcin_bydgoskie;Barcin;bydgoskie;rzymskokatolickie;;1824-1830;6/225/0;76;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144678#;52.8632346;17.9472463;Kujawsko-Pomorskie;1
Barcinek_jeleniogórskie;Barcinek;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.94184;15.59754;Dolnośląskie;1
Bardo_wałbrzyskie;Bardo;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.5068014;16.7402729;Dolnośląskie;1
Bardo_poznańskie;Bardo;poznańskie;rzymskokatolickie;;1818 - 1874;53/4931/0;873;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20597#;52.2757847;17.4946102;Wielkopolskie;1
Bardo_poznańskie;Bardo;poznańskie;rzymskokatolickie;;1849 - 1860;53/4934/0;1699;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20600#;52.2757847;17.4946102;Wielkopolskie;1
Bądkowo_włocławskie;Bądkowo;włocławskie;rzymskokatolickie;;;kein Bestand;0;0;52.7057;18.78517;Kujawsko-Pomorskie,  Wielkopolskie;1
Bądkowo_włocławskie;Bądkowo;włocławskie;rzymskokatolickie;;"1717-1808; 1811-1923";71/179/0;4806;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104450#;52.7057;18.78517;Kujawsko-Pomorskie,  Wielkopolskie;1
Bąkowice_opolskie;Bąkowice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.93141;17.6995762;Opolskie;1
Bąków_opolskie;Bąków;opolskie;rzymskokatolickie;;1658-1941;82/113/0;179;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88404#;50.9619655;18.3118784;Opolskie;1
Biała_opolskie;Biała;opolskie;rzymskokatolickie;;1837-1874;45/3232/0;2179;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47687#;50.3853609;17.6599107;Opolskie;1
Biała_opolskie;Biała;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.3853609;17.6599107;Opolskie;1
Biała_pilskie;Biała;pilskie;rzymskokatolickie;;1815 - 1874;53/3266/0;5380;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18759#;53.04534;16.53949;Wielkopolskie, Zachodniopomorskie;1
Biała Nyska_opolskie;Biała Nyska;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.4359728;17.306159;Opolskie;1
Białcz_poznańskie;Białcz;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.6265235;16.1934105;Wielkopolskie;1
Białcz_poznańskie;Białcz;poznańskie;rzymskokatolickie;;1818 - 1867;53/3239/0;195;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18732#;52.6265235;16.1934105;Wielkopolskie;1
Białe Piątkowo_poznańskie;Białe Piątkowo;poznańskie;rzymskokatolickie;;1849 - 1860;53/4934/0;1699;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20600#;52.1903635;17.4521897;Wielkopolskie;1
Białężyn_poznańskie;Białężyn;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.6283488;16.9800505;Wielkopolskie;1
Białobrzezie_wrocławskie;Białobrzezie;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;50.800045;16.900087;Dolnośląskie;1
Białowieża_opolskie;Białowieża;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5251497;17.126792;Opolskie;1
Biały Kamień_wałbrzyskie;Biały Kamień;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.7808218;16.2495847;Dolnośląskie;1
Biechowo_poznańskie;Biechowo;poznańskie;rzymskokatolickie;;1818 - 1874;53/4926/0;1009;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20592#;52.2491373;17.54268;Wielkopolskie;1
Biechowo_poznańskie;Biechowo;poznańskie;rzymskokatolickie;;1849 - 1860;53/4934/0;1699;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20600#;52.2491373;17.54268;Wielkopolskie;1
Bieganowo_poznańskie;Bieganowo;poznańskie;rzymskokatolickie;;1817 - 1873;53/4925/0;670;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20591#;52.2775286;17.2195248;Wielkopolskie;1
Bieganowo_poznańskie;Bieganowo;poznańskie;rzymskokatolickie;;1849 - 1860;53/4934/0;1699;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20600#;52.2775286;17.2195248;Wielkopolskie;1
Bielanka_jeleniogórskie;Bielanka;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;51.1187998;15.6883422;Dolnośląskie;1
Bielany Wrocławskie_wrocławskie;Bielany Wrocławskie;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.0392894;16.9686781;Dolnośląskie;1
Bielawa_wałbrzyskie;Bielawa;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.6841718;16.6118259;Dolnośląskie;1
Bielice_opolskie;Bielice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5570251;17.4943496;Opolskie;1
Bierawa_opolskie;Bierawa;opolskie;rzymskokatolickie;;1800-1874;45/3343/0;3424;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47846#;50.2810555;18.2424545;Opolskie;1
Bierkowice_wałbrzyskie;Bierkowice;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.4740488;16.6022698;Dolnośląskie;1
Biestrzykowice_opolskie;Biestrzykowice;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.9899667;17.7548708;Opolskie;1
Biezdrowo_pilskie;Biezdrowo;pilskie;rzymskokatolickie;;;kein Bestand;0;0;52.6881691;16.3063663;Wielkopolskie, Zachodniopomorskie;1
Biezdrowo_pilskie;Biezdrowo;pilskie;rzymskokatolickie;;1819 - 1873;53/4927/0;1560;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/20593#;52.6881691;16.3063663;Wielkopolskie, Zachodniopomorskie;1
