help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Augustowo_toruńskie;Augustowo;toruńskie;urząd stanu cywilnego;;1874-1935 [1949];69/1101/0;9132;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103355#;53.2264862;18.0958415;Podlaskie, Warmińsko-Mazurskie;0;9132;1
Babice_opolskie;Babice;opolskie;urząd stanu cywilnego;;1874-1944;45/788/0;2806;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45280#;50.1720241;17.9121706;Opolskie;1;2806;1
Babimost_zielonogórskie;Babimost;zielonogórskie;urząd stanu cywilnego;;1874-1920 [2016];89/215/0;3891;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63301#;52.165312;15.8275175;Lubuskie,  Dolnośląskie;1;3891;1
Baborów_opolskie;Baborów;opolskie;urząd stanu cywilnego;;1874-1944;45/790/0;13517;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45282#;50.1563566;17.9849393;Opolskie;1;13517;1
Bachorce_bydgoskie;Bachorce;bydgoskie;urząd stanu cywilnego;;1892 - 1935;7/630/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144276#;52.66639;18.41891;Kujawsko-Pomorskie;1;0;1
Baczyna_gorzowskie;Baczyna;gorzowskie;urząd stanu cywilnego;;1874-1938;66/397/0;369;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35845#;52.7551;15.1158;Lubuskie, Zachodniopomorskie;1;369;1
Bądkowo_włocławskie;Bądkowo;włocławskie;urząd stanu cywilnego;;"1717-1808; 1811-1923";71/179/0;4806;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104450#;52.7057;18.78417;Warmińsko-Mazurskie;0;4806;1
Bajerze_toruńskie;Bajerze;toruńskie;urząd stanu cywilnego;;1874-1935 [1939, 1949];69/1153/0;4931;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103407#;53.2493947;18.4565868;Podkarpackie;0;4931;1
Bąków_opolskie;Bąków;opolskie;urząd stanu cywilnego;;1874-1938 [2021];45/855/0;4977;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45347#;50.9619655;18.3108784;Warmińsko-Mazurskie, Pomorskie;0;4977;1
Bąkowice_opolskie;Bąkowice;opolskie;urząd stanu cywilnego;;;kein Bestand;0;0;50.93141;17.6985762;Świętokrzyskie, Mazowieckie,  Łódzkie;0;-1;1
Bąkowo_bydgoskie;Bąkowo;bydgoskie;urząd stanu cywilnego;;1874-1913;6/1672/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146379#;53.5703402;18.6122096;Pomorskie;0;0;1
Baranowice_katowickie;Baranowice;katowickie;urząd stanu cywilnego;;1874-1937;18/292/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/132302#;49.8609971;18.74432;Dolnośląskie;1;0;1
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1936-1940;6/3268/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/158749#;52.8632346;17.9462463;Dolnośląskie;1;0;1
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1874-1935 [1942-1949];6/1677/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146384#;52.8632346;17.9452463;Warmińsko-Mazurskie;0;0;2
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1936-1940;6/3267/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/158748#;52.8632346;17.9442463;Warmińsko-Mazurskie;0;0;3
Barcinek_jeleniogórskie;Barcinek;jeleniogórskie;urząd stanu cywilnego;;1874-1943;83/251/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86447#;50.94184;15.59654;Pomorskie, Zachodniopomorskie;0;0;1
Bardo_wałbrzyskie;Bardo;wałbrzyskie;urząd stanu cywilnego;;1874-1939;82/1724/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90331#;50.5068014;16.7392729;Pomorskie, Zachodniopomorskie;0;0;1
Barlinek_gorzowskie;Barlinek;gorzowskie;urząd stanu cywilnego;;1874-1942;66/438/0;9665;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35886#;52.9920762;15.2156391;Pomorskie;0;9665;1
Barnim_szczecińskie;Barnim;szczecińskie;urząd stanu cywilnego;;1875-1875;65/1013/0;30;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69409#;53.2366529;15.0097816;Dolnośląskie;1;30;1
Barnówko_gorzowskie;Barnówko;gorzowskie;urząd stanu cywilnego;;1886-1893;66/535/0;36;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35983#;52.7845;14.76943;Dolnośląskie;1;36;1
Bartoszów_legnickie;Bartoszów;legnickie;urząd stanu cywilnego;;1897 - 1938;85/641/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87733#;51.1875183;16.2112423;Dolnośląskie;1;0;1
Bartoszówek_wałbrzyskie;Bartoszówek;wałbrzyskie;urząd stanu cywilnego;;1876-1913;82/1509/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90116#;51.0041943;16.3864184;Kujawsko-Pomorskie,  Wielkopolskie;1;0;1
Barzkowice_szczecińskie;Barzkowice;szczecińskie;urząd stanu cywilnego;;1874-1928;65/1017/0;729;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69413#;53.3406902;15.2656307;Opolskie;1;729;1
Batorów_wałbrzyskie;Batorów;wałbrzyskie;urząd stanu cywilnego;;1874-1938;82/1541/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90148#;50.438104;16.4262315;Kujawsko-Pomorskie;1;0;1
Batorowo_pilskie;Batorowo;pilskie;urząd stanu cywilnego;;1874 - 1934;55/620/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23447#;53.49295;17.32496;Opolskie;1;0;1
Będargowo_szczecińskie;Będargowo;szczecińskie;urząd stanu cywilnego;;1874-1939;65/686/0;1906;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69119#;53.3912883;14.4402401;Świętokrzyskie, Mazowieckie,  Łódzkie;0;1906;1
Będzin_katowickie;Będzin;katowickie;urząd stanu cywilnego;;[1808-1825] 1826-1921;12/789/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/141055#;50.3230785;19.1312201;Łódzkie, Świętokrzyskie;0;0;1
Bełczna_szczecińskie;Bełczna;szczecińskie;urząd stanu cywilnego;;1874-1937;65/595/0;7297;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69028#;53.7139056;15.5922079;Łódzkie;0;7297;1
Bełczyna_jeleniogórskie;Bełczyna;jeleniogórskie;urząd stanu cywilnego;;1876 - 1938;83/324/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86520#;51.0439303;15.7462728;Łódzkie;0;0;1
Bełk_katowickie;Bełk;katowickie;urząd stanu cywilnego;;1874-1942;18/345/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/132354#;50.12989;18.71829;Lubelskie;0;0;1
Berlin_Berlin;Berlin;Berlin;urząd stanu cywilnego;;1915;89/2785/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/163095#;52.5173885;13.3941309;Deutschland;1;0;1
Berlin-Buckow_Berlin;Berlin-Buckow;Berlin;urząd stanu cywilnego;;1932-1935;89/2786/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/163096#;52.524932;13.406032;Opolskie;1;0;1
Berlin-Heiligensee_Berlin;Berlin-Heiligensee;Berlin;urząd stanu cywilnego;;1938;89/2787/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/163097#;52.524932;13.406032;Podlaskie, Warmińsko-Mazurskie;0;0;1
Berlin-Marienfelde_Berlin;Berlin-Marienfelde;Berlin;urząd stanu cywilnego;;1932-1932;65/1138/0;29;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69523#;52.524932;13.406032;Lubelskie;0;29;1
Berlin-Tempelhof_Berlin;Berlin-Tempelhof;Berlin;urząd stanu cywilnego;;1931-1931;65/1139/0;46;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69524#;52.524932;13.406032;Warmińsko-Mazurskie;0;46;1
Bernacice_opolskie;Bernacice;opolskie;urząd stanu cywilnego;;1874-1938;45/825/0;2844;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45317#;50.1705748;17.8735458;Lubelskie;0;2844;1
Biadacz_opolskie;Biadacz;opolskie;urząd stanu cywilnego;;1874-1938 [2019];45/870/0;5105;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45361#;50.9964984;18.326939;Opolskie;1;5105;1
Biała Górna_częstochowskie;Biała Górna;częstochowskie;urząd stanu cywilnego;;[1808]1826-1924;8/108/0;6868;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/25768#;50.87822;19.05193;Śląskie, Opolskie, Łódzkie, Świętokrzyskie;1;6868;1
Biała- Miasto_opolskie;Biała- Miasto;opolskie;urząd stanu cywilnego;;1874-1940;45/1065/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45555#;50.3852124;17.6710762;Opolskie;1;0;1
Biała Nyska_opolskie;Biała Nyska;opolskie;urząd stanu cywilnego;;1955-1959;45/3841/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162742#;50.4359728;17.305159;Opolskie;1;0;1
Biała Nyska_opolskie;Biała Nyska;opolskie;urząd stanu cywilnego;;1938, 1942;45/3997/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/167390#;50.4359728;17.304159;Opolskie;1;0;2
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;miasto;1874-1940;45/1065/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45555#;50.3853609;17.6589107;Opolskie;1;0;1
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;obwód wiejski;1874-1938 [1986];45/1064/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45554#;50.3853609;17.6579107;Opolskie;1;0;2
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1874-1938 [1986];45/1064/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45554#;50.3853609;17.6569107;Opolskie;1;0;3
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1874-1940;45/1065/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45555#;50.3853609;17.6559107;Opolskie;1;0;4
Biała_opolskie;Biała;opolskie;urząd stanu cywilnego;;1945-1987;45/3603/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76135#;50.3853609;17.6549107;Opolskie;1;0;5
Biała_pilskie;Biała;pilskie;urząd stanu cywilnego;;1874 - 1945;55/578/0;10216;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23414#;53.04534;16.53849;Wielkopolskie, Zachodniopomorskie;1;10216;1
Białcz_gorzowskie;Białcz;gorzowskie;urząd stanu cywilnego;;1874-1938;66/657/0;1856;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/36105#;52.67614;14.9386;Lubuskie, Zachodniopomorskie;1;1856;1
Białobrzezie_wrocławskie;Białobrzezie;wrocławskie;urząd stanu cywilnego;;1874-1928;82/1405/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90013#;50.800045;16.899087;Dolnośląskie;1;0;1
Białochowo_toruńskie;Białochowo;toruńskie;urząd stanu cywilnego;;1874-1935 [1978, 1995];69/1103/0;3630;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103357#;53.545812;18.874242;Kujawsko-Pomorskie;1;3630;1
Białołęka_legnickie;Białołęka;legnickie;urząd stanu cywilnego;;1874 - 1934;85/544/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87636#;51.64587;16.21276;Dolnośląskie;1;0;1
Białołęka_legnickie;Białołęka;legnickie;urząd stanu cywilnego;;1874-1899;89/202/0;887;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63288#;51.64587;16.21176;Dolnośląskie;1;887;2
Białośliwie_pilskie;Białośliwie;pilskie;urząd stanu cywilnego;;1874 - 1914;55/529/0;12074;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23374#;53.0999053;17.1218229;Wielkopolskie, Zachodniopomorskie;1;12074;1
Białuń_szczecińskie;Białuń;szczecińskie;urząd stanu cywilnego;;1877-1892;65/801/0;725;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69228#;53.6114243;14.8496816;Zachodniopomorskie,  Lubuskie;1;725;1
