help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Augustowo_toruńskie;Augustowo;toruńskie;urząd stanu cywilnego;;1874-1935 [1949];69/1101/0;9132;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103355#;53.2264862;18.0968415;Podlaskie, Warmińsko-Mazurskie;0
Babice_opolskie;Babice;opolskie;urząd stanu cywilnego;;1874-1944;45/788/0;2806;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45280#;50.1720241;17.9131706;Opolskie;1
Babimost_zielonogórskie;Babimost;zielonogórskie;urząd stanu cywilnego;;1874-1920 [2016];89/215/0;3891;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63301#;52.165312;15.8285175;Lubuskie,  Dolnośląskie;1
Baborów_opolskie;Baborów;opolskie;urząd stanu cywilnego;;1874-1944;45/790/0;13517;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45282#;50.1563566;17.9859393;Opolskie;1
Bachorce_bydgoskie;Bachorce;bydgoskie;urząd stanu cywilnego;;1892 - 1935;7/630/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144276#;52.66639;18.41991;Kujawsko-Pomorskie;1
Baczyna_gorzowskie;Baczyna;gorzowskie;urząd stanu cywilnego;;1874-1938;66/397/0;369;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35845#;52.7551;15.1168;Lubuskie, Zachodniopomorskie;1
Bądkowo_włocławskie;Bądkowo;włocławskie;urząd stanu cywilnego;;"1717-1808; 1811-1923";71/179/0;4806;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104450#;52.7057;18.78517;Warmińsko-Mazurskie;0
Bajerze_toruńskie;Bajerze;toruńskie;urząd stanu cywilnego;;1874-1935 [1939, 1949];69/1153/0;4931;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103407#;53.2493947;18.4575868;Podkarpackie;0
Bąków_opolskie;Bąków;opolskie;urząd stanu cywilnego;;1874-1938 [2021];45/855/0;4977;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45347#;50.9619655;18.3118784;Warmińsko-Mazurskie, Pomorskie;0
Bąkowice_opolskie;Bąkowice;opolskie;urząd stanu cywilnego;;;kein Bestand;0;0;50.93141;17.6995762;Świętokrzyskie, Mazowieckie,  Łódzkie;0
Bąkowo_bydgoskie;Bąkowo;bydgoskie;urząd stanu cywilnego;;1874-1913;6/1672/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146379#;53.5703402;18.6132096;Pomorskie;0
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1936-1940;6/3268/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/158749#;52.8632346;17.9472463;Dolnośląskie;1
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1874-1935 [1942-1949];6/1677/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146384#;52.8632346;17.9472463;Warmińsko-Mazurskie;0
Barcin_bydgoskie;Barcin;bydgoskie;urząd stanu cywilnego;;1936-1940;6/3267/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/158748#;52.8632346;17.9472463;Warmińsko-Mazurskie;0
Barcinek_jeleniogórskie;Barcinek;jeleniogórskie;urząd stanu cywilnego;;1874-1943;83/251/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86447#;50.94184;15.59754;Pomorskie, Zachodniopomorskie;0
Bardo_wałbrzyskie;Bardo;wałbrzyskie;urząd stanu cywilnego;;1874-1939;82/1724/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90331#;50.5068014;16.7402729;Pomorskie, Zachodniopomorskie;0
Barlinek_gorzowskie;Barlinek;gorzowskie;urząd stanu cywilnego;;1874-1942;66/438/0;9665;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35886#;52.9920762;15.2166391;Pomorskie;0
Barnim_szczecińskie;Barnim;szczecińskie;urząd stanu cywilnego;;1875-1875;65/1013/0;30;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69409#;53.2366529;15.0107816;Dolnośląskie;1
Barnówko_gorzowskie;Barnówko;gorzowskie;urząd stanu cywilnego;;1886-1893;66/535/0;36;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35983#;52.7845;14.77043;Dolnośląskie;1
Bartoszów_legnickie;Bartoszów;legnickie;urząd stanu cywilnego;;1897 - 1938;85/641/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87733#;51.1875183;16.2122423;Dolnośląskie;1
Bartoszówek_wałbrzyskie;Bartoszówek;wałbrzyskie;urząd stanu cywilnego;;1876-1913;82/1509/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90116#;51.0041943;16.3874184;Kujawsko-Pomorskie,  Wielkopolskie;1
Barzkowice_szczecińskie;Barzkowice;szczecińskie;urząd stanu cywilnego;;1874-1928;65/1017/0;729;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69413#;53.3406902;15.2666307;Opolskie;1
Batorów_wałbrzyskie;Batorów;wałbrzyskie;urząd stanu cywilnego;;1874-1938;82/1541/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90148#;50.438104;16.4272315;Kujawsko-Pomorskie;1
Batorowo_pilskie;Batorowo;pilskie;urząd stanu cywilnego;;1874 - 1934;55/620/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23447#;53.49295;17.32596;Opolskie;1
Będargowo_szczecińskie;Będargowo;szczecińskie;urząd stanu cywilnego;;1874-1939;65/686/0;1906;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69119#;53.3912883;14.4412401;Świętokrzyskie, Mazowieckie,  Łódzkie;0
Bełczna_szczecińskie;Bełczna;szczecińskie;urząd stanu cywilnego;;1874-1937;65/595/0;7297;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69028#;53.7139056;15.5932079;Łódzkie;0
Bełczyna_jeleniogórskie;Bełczyna;jeleniogórskie;urząd stanu cywilnego;;1876 - 1938;83/324/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86520#;51.0439303;15.7472728;Łódzkie;0
Bernacice_opolskie;Bernacice;opolskie;urząd stanu cywilnego;;1874-1938;45/825/0;2844;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45317#;50.1705748;17.8745458;Lubelskie;0
Biadacz_opolskie;Biadacz;opolskie;urząd stanu cywilnego;;1874-1938 [2019];45/870/0;5105;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45361#;50.9964984;18.327939;Opolskie;1
Biała- Miasto_opolskie;Biała- Miasto;opolskie;urząd stanu cywilnego;;1874-1940;45/1065/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45555#;50.3852124;17.6720762;Opolskie;1
Biała Nyska_opolskie;Biała Nyska;opolskie;urząd stanu cywilnego;;1955-1959;45/3841/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162742#;50.4359728;17.306159;Opolskie;1
Biała Nyska_opolskie;Biała Nyska;opolskie;urząd stanu cywilnego;;1938, 1942;45/3997/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/167390#;50.4359728;17.306159;Opolskie;1
